id,text,source
1096982979107278850,"....The U.S. does not want to watch as these ISIS fighters permeate Europe, which is where they are expected to go.… https://t.co/acl9k8EQqA",Twitter for iPhone
1096980408401625088,"The United States is asking Britain, France, Germany and other European allies to take back over 800 ISIS fighters… https://t.co/HhAcorxyP0",Twitter for iPhone
1096926633708134406,Trade negotiators have just returned from China where the meetings on Trade were very productive. Now at meetings w… https://t.co/vCyKHfh08p,Twitter for iPhone
1096924708132581377,BUILDING THE WALL!,Twitter for iPhone
1096856815810342912,https://t.co/nJORBjwint,Twitter for iPhone
1096812333333184512,https://t.co/f6Jd2FzayZ,Twitter for iPhone
1096547516290543617,"Great job by law enforcement in Aurora, Illinois. Heartfelt condolences to all of the victims and their families. America is with you!",Twitter for iPhone
1096246820097966080,“Trying to use the 25th Amendment to try and circumvent the Election is a despicable act of unconstitutional power… https://t.co/yaOJ2xZj7k,Twitter for iPhone
1096242299561017345,"“After The Flight 93 Election, The Vote That Saved America - And What We Still Have To Lose,” by very talented Mich… https://t.co/0O6pJ15MbJ",Twitter for iPhone
1096099414916169730,"One year ago today, a horrific act of violence took the lives of 14 students and 3 educators in Parkland, Florida.… https://t.co/I4fYuapHlH",Twitter for iPhone
1096098622423396353,Reviewing the funding bill with my team at the @WhiteHouse!,Twitter for iPhone
1096060280839307267,"....Many of the top FBI brass were fired, forced to leave, or left. McCabe’s wife received BIG DOLLARS from Clinton… https://t.co/4InFRTx4IC",Twitter for iPhone
1096056426533998594,Disgraced FBI Acting Director Andrew McCabe pretends to be a “poor little Angel” when in fact he was a big part of… https://t.co/dfMDqNitPS,Twitter for iPhone
1095857587344551936,California has been forced to cancel the massive bullet train project after having spent and wasted many billions o… https://t.co/zQ6MPgxXv5,Twitter for iPhone
1095845385766092800,https://t.co/BS162NF8HC,Twitter for iPhone
1095841187657891840,https://t.co/ruL7Ctpdak,Twitter for iPhone
1095787504001789960,"Today, it was my great honor to address the @MjrCitiesChiefs Association and @MCSheriffs Conference in Washington,… https://t.co/gAKpd6qSB8",Twitter for iPhone
1095699493440446464,"The Gallup Poll just announced that 69% of our great citizens expect their finances to improve next year, a 16 year high. Nice!",Twitter for iPhone
1095638223861284865,The Senate Intelligence Committee: THERE IS NO EVIDENCE OF COLLUSION BETWEEN THE TRUMP CAMPAIGN AND RUSSIA!,Twitter for iPhone
1095523879689293825,I want to thank all Republicans for the work you have done in dealing with the Radical Left on Border Security. Not… https://t.co/BDiGlzkvAg,Twitter for iPhone
1095470726436569088,Thank you to @MSNBC! https://t.co/VdRnirACAz,Twitter for iPhone
1095469447933059073,Was just presented the concept and parameters of the Border Security Deal by hard working Senator Richard Shelby. L… https://t.co/LDs2lEomsZ,Twitter for iPhone
1095360852482498561,"Beautiful evening in El Paso, Texas last night. God Bless the USA! https://t.co/trqA75KxLN",Twitter for iPhone
1095168756374921227,"We are fighting for all Americans, from all backgrounds, of every age, race, religion, birthplace, color &amp; creed. O… https://t.co/hckivLhfVl",Twitter for iPhone
1095080896342814720,Coal is an important part of our electricity generation mix and @TVAnews should give serious consideration to all f… https://t.co/yljvUmkAE5,Twitter for iPhone
1095049346201079808,40 years of corruption. 40 years of repression. 40 years of terror. The regime in Iran has produced only… https://t.co/2c8wztPNvb,Twitter for iPhone
1095043117760348161,https://t.co/LpR2JkYLcW,Twitter for iPhone
1094990198507819008,Will be heading to El Paso very soon. Big speech on Border Security and much else tonight. Tremendous crowd! See you later!,Twitter for iPhone
1094964052558823424,The Democrats are so self righteous and ANGRY! Loosen up and have some fun. The Country is doing well!,Twitter for iPhone
1094948909657542656,"The Democrats do not want us to detain, or send back, criminal aliens! This is a brand new demand. Crazy!",Twitter for iPhone
1094940049697849345,No president ever worked harder than me (cleaning up the mess I inherited)!,Twitter for iPhone
1094939561485062146,“Fact checkers have become Fake News.” @JesseBWatters   So True!,Twitter for iPhone
1094724816941260802,The U.S. will soon control 100% of ISIS territory in Syria. @CNN (do you believe this?).,Twitter for iPhone
1094724816941260802,The U.S. will soon control 100% of ISIS territory in Syria. @CNN (do you believe this?).,Twitter for iPhone
1094718856197799936,"Well, it happened again. Amy Klobuchar announced that she is running for President, talking proudly of fighting glo… https://t.co/ovrOxCny9h",Twitter for iPhone
1094716135625424896,"The Border Committee Democrats are behaving, all of a sudden, irrationally. Not only are they unwilling to give dol… https://t.co/CU9d49vIfn",Twitter for iPhone
1094714204328771586,“President is on sound legal ground to declare a National Emergency. There have been 58 National Emergencies declar… https://t.co/HVjacsLuLb,Twitter for iPhone
1094667183953719296,"....The fact is, when I took over as President, our Country was a mess. Depleted Military, Endless Wars, a potentia… https://t.co/tgR1sMzSXl",Twitter for iPhone
1094664056827449344,"The media was able to get my work schedule, something very easy to do, but it should have been reported as a positi… https://t.co/A9Le6wouti",Twitter for iPhone
1094633257377787904,"It was a very bad week for the Democrats, with the GREAT economic numbers, The Virginia disaster and the State of t… https://t.co/HVHrleg9LB",Twitter for iPhone
1094631415357075461,I don’t think the Dems on the Border Committee are being allowed by their leaders to make a deal. They are offering… https://t.co/x8JfACpo2H,Twitter for iPhone
1094618230793097216,Gallup Poll: “Open Borders will potentially attract 42 million Latin Americans.” This would be a disaster for the U.S. We need the Wall now!,Twitter for iPhone
1094610433435156486,African Americans are very angry at the double standard on full display in Virginia!,Twitter for iPhone
1094577112063885312,"Senator Richard Burr, The Chairman of the Senate Intelligence Committee, just announced that after almost two years… https://t.co/fLozxVZoq7",Twitter for iPhone
1094375749279248385,I think it is very important for the Democrats to press forward with their Green New Deal. It would be great for th… https://t.co/vEaju3l195,Twitter for iPhone
1094368870415110145,"Today Elizabeth Warren, sometimes referred to by me as Pocahontas, joined the race for President. Will she run as o… https://t.co/chTIbTcD1H",Twitter for iPhone
1094355899194454017,The Democrats just don’t seem to want Border Security. They are fighting Border Agents recommendations. If you beli… https://t.co/fred0fCHLU,Twitter for iPhone
1094243546834657281,We have a great economy DESPITE the Obama Administration and all of its job killing Regulations and Roadblocks. If… https://t.co/2rueUOdvof,Twitter for iPhone
1094242164857556992,The Democrats in Congress yesterday were vicious and totally showed their cards for everyone to see. When the Repub… https://t.co/jji6able2y,Twitter for iPhone
1094233554886840321,It was great meeting some of our outstanding young military personnel who were wounded in both Syria and Afghanista… https://t.co/0uAFzCLkTF,Twitter for iPhone
1094035813820784640,"North Korea, under the leadership of Kim Jong Un, will become a great Economic Powerhouse. He may surprise some but… https://t.co/XQ9HfkSc3M",Twitter for iPhone
1094031561861881856,My representatives have just left North Korea after a very productive meeting and an agreed upon time and date for… https://t.co/gWYYV5misV,Twitter for iPhone
1093966532558929922,"I was a big fan of Frank Robinson, both as a great player and man. He was the first African American manager in bas… https://t.co/Nhe4v705Gr",Twitter for iPhone
1093965968253087744,Deepest sympathies to Congresswoman Debbie Dingell and the entire family of John Dingell. Longest serving Congressm… https://t.co/wbvzKXJCR7,Twitter for iPhone
1093965250142056448,"Working hard, thank you! https://t.co/tnuHnw8kll",Twitter for iPhone
1093871865246961666,"...It is all a GIANT AND ILLEGAL HOAX, developed long before the election itself, but used as an excuse by the Demo… https://t.co/unCVqZ2Bnp",Twitter for iPhone
1093869087908941827,The mainstream media has refused to cover the fact that the head of the VERY important Senate Intelligence Committe… https://t.co/5kJEIsX5Dt,Twitter for iPhone
1093867361713704960,"Now we find out that Adam Schiff was spending time together in Aspen with Glenn Simpson of GPS Fusion, who wrote th… https://t.co/OzFzkeVTC3",Twitter for iPhone
1093847784573280256,"Not only did Senator Burr’s Committee find No Collusion by the Trump Campaign and Russia, it’s important because th… https://t.co/wIZACy18z3",Twitter for iPhone
1093692376093216769,"Highly respected Senator Richard Burr, Chairman of Senate Intelligence, said today that, after an almost two year i… https://t.co/JXnRAMYuuE",Twitter for iPhone
1093661397769248769,So nice how well my State of the Union speech was received. Thank you to all!,Twitter for iPhone
1093661112724262912,"Each year, America pauses to remember its fallen astronaut heroes and the great accomplishments for which they stri… https://t.co/O6Rec61dhB",Twitter for iPhone
1093656560264466433,"Today, it was my great honor to sign a Presidential Memorandum launching the Women’s Global Development and Prosper… https://t.co/iaPQDYqawI",Twitter for iPhone
1093529884104843265,2019 National Prayer Breakfast https://t.co/cKvv3ygOOt,Twitter for iPhone
1093489029780332545,PRESIDENTIAL HARASSMENT! It should never be allowed to happen again!,Twitter for iPhone
1093488317604216832,"Democrats at the top are killing the Great State of Virginia. If the three failing pols were Republicans, far stron… https://t.co/qGGBMs95zF",Twitter for iPhone
1093471134845190145,"....The Dems and their committees are going “nuts.” The Republicans never did this to President Obama, there would… https://t.co/K002FWQZGI",Twitter for iPhone
1093467800964866048,"So now Congressman Adam Schiff announces, after having found zero Russian Collusion, that he is going to be looking… https://t.co/xwGh0o6S4X",Twitter for iPhone
1093271658977218560,https://t.co/tUDYZrc6w0,Twitter for iPhone
1092991438579732482,"#SOTU
https://t.co/kL6SoClx4K",Twitter for iPhone
1092901071910043648,Looking forward to tonight! #SOTU https://t.co/lGKkZeaxUZ,Twitter for iPhone
1092832363913072644,"Melania and I send our greetings to those celebrating the Lunar New Year. Today, people across the United States an… https://t.co/YVDWyIJVir",Twitter for iPhone
1092807525102247938,"I see Schumer is already criticizing my State of the Union speech, even though he hasn’t seen it yet. He’s just ups… https://t.co/ymjsJEe8Ut",Twitter for iPhone
1092787440560078849,Tremendous numbers of people are coming up through Mexico in the hopes of flooding our Southern Border. We have sen… https://t.co/DzhzfDXFUp,Twitter for iPhone
1092516540262551553,"I am pleased to announce that David Bernhardt, Acting Secretary of the Interior, will be nominated as Secretary of… https://t.co/87YTreot9H",Twitter for iPhone
1092181733825490945,"With Caravans marching through Mexico and toward our Country, Republicans must be prepared to do whatever is necess… https://t.co/slwIl9FzcC",Twitter for iPhone
1092169520469471233,"Everyone is asking how Tiger played yesterday. The answer is Great! He was long, straight &amp; putted fantastically we… https://t.co/z67NiHN99j",Twitter for iPhone
1091918458726563841,I will be interviewed Sunday morning on @FaceTheNation and prior to the Super Bowl on @CBS at 3:30 P.M. Enjoy!,Twitter for iPhone
1091864144071020544,"Ed Gillespie, who ran for Governor of the Great State of Virginia against Ralph Northam, must now be thinking Malpr… https://t.co/jDWGwJfyPj",Twitter for iPhone
1091858686371344384,"Democrat Governor Ralph Northam of Virginia just stated, “I believe that I am not either of the people in that phot… https://t.co/yCiJ5hU12J",Twitter for iPhone
1091760712756744192,"Great morning at Trump National Golf Club in Jupiter, Florida with @JackNicklaus and @TigerWoods! https://t.co/mdPN4yvS8e",Twitter for iPhone
1091427927475085312,National African American History Month is an occasion to rediscover the enduring stories of African Americans and… https://t.co/jY3lrk4byb,Twitter for iPhone
